id;n3;n2;n4;n117;id_localisation
394;0134164F;Privé enseignement supérieur;ESSCA School of Management - Aix-Marseille;;36
395;0134248X;Public;Aix-Marseille Université - Site de Marseille Timone;;842
396;0134249Y;Privé sous contrat d'association;MAISON FAMILIALE RURALE DE ROUSSET;;185
397;0134260K;Public;IFSI CGD13;;241
398;0134315V;Public;UFR des Sciences Médicales et Paramédicales site Nord Université Aix Marseille;;861
399;0134316W;Public;Aix-Marseille Université - Site de Marseille Saint-Jérôme;;927
400;0134319Z;Public;IUT Aix-Marseille - Site de Marseille St Jérôme;;927
401;0134385W;Public;IUT Aix-Marseille - Site de Marseille Château-Gombert;;927
402;0134386X;Public;Aix-Marseille Université - Site d'Aubagne;;225
403;0134564R;Privé enseignement supérieur;EGC Arles;;1174
404;0140013N;Public;Lycée Malherbe;;123
405;0140014P;Public;Lycée Augustin Fresnel;;123
406;0140017T;Public;Lycée Jean Rostand;;123
407;0140018U;Public;Lycée professionnel Victor Lepine;;123
408;0140019V;Public;Lycée professionnel Camille Claudel;;123
409;0140043W;Public;Lycée André Maurois;;326
410;0140052F;Public;Lycée Guillaume le Conquérant;;698
411;0141112H;Public;Lycée agricole Le Robillard;;715
412;0141161L;Privé sous contrat d'association;Lycée Jeanne D'Arc;;123
413;0141164P;Privé sous contrat d'association;Lycée Sainte-Marie;;123
414;0141175B;Privé sous contrat d'association;Lycée Institut Lemonnier;;123
415;0141178E;Privé sous contrat d'association;Lycée Sainte Ursule;;123
416;0141192V;Privé sous contrat d'association;Lycée professionnel Saint-Joseph;;326
417;0141234R;Public;IUT GRAND OUEST NORMANDIE - Pôle de Caen - Site de Caen;;123
418;0141274J;Public;Lycée Arcisse De Caumont;;869
419;0141275K;Public;Lycée Paul Cornu;;151
420;0141408E;Public;Université de Caen Normandie;;123
421;0141418R;Privé sous contrat d'association;Lycée Les Rosiers;;151
422;0141432F;Public;ESAM Ecole Supérieure d'Arts et Médias;;123
423;0141555P;Public;Lycée Marie Curie;;967
424;0141599M;Public;Lycée professionnel Jean Jooris;;960
425;0141687H;Public;Lycée Jules Verne;;1011
