id;n10;n11;n12;n13;n14;n15;n16
5453;CPGE - ECG;formation sélective;CPGE;Lycée CAMILLE VERNET - CPGE - ECG;Classe préparatoire économique et commerciale;ECG - Mathématiques approfondies + HGG;
5454;Licence - Portail Sciences pour l'ingénieur - Electronique, télécommunications et réseaux (tronc commun MISPI : Mathématiques Informatique Sciences pour l'ingénieur);formation non sélective;Licence_Las;Université Savoie Mont Blanc - Bourget-du-Lac - Licence - Portail Sciences pour l'ingénieur - Electronique, télécommunications et réseaux (tronc commun MISPI : Mathématiques Informatique Sciences pour l'ingénieur);Licence - Sciences - technologies - santé;Sciences pour l'ingénieur;Electronique, télécommunications et réseaux (tronc commun MISPI : Mathématiques Informatique Sciences pour l'ingénieur)
5455;Licence - Sciences du langage - Parcours Langage, Média, Journalisme - partenariat ESJ Pro;formation sélective;Licence;Université Paul Valery - Montpellier 3 - Licence - Sciences du langage - Parcours Langage, Média, Journalisme - partenariat ESJ Pro;Licence - Arts-lettres-langues;Sciences du langage;Langage, Média, Journalisme - partenariat ESJ Pro
5456;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée du Diadème - Te tara o mai'ao - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
5457;BTS - Agricole - Agronomie et cultures durables;formation sélective;BTS;Lycée agricole de Ressins - BTS - Agricole - Agronomie et cultures durables;BTS - Agricole;Agronomie et cultures durables;
5458;Formation des écoles de commerce et de management Bac + 3;formation sélective;Ecole de Commerce;ESC Amiens - Bachelor Gestion et Marketing - Formation des écoles de commerce et de management Bac + 3;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;
5459;DN MADE - Espace - Spécialité : Design Espace et Innovation Sociale;formation sélective;Autre formation;Lycée Sainte Geneviève - DN MADE - Espace - Spécialité : Design Espace et Innovation Sociale;DN MADE;Espace;Spécialité : Design Espace et Innovation Sociale
5460;BUT - Qualité, logistique industrielle et organisation;formation sélective;BUT;I.U.T. d'Evry Val d'Essonne - BUT - Qualité, logistique industrielle et organisation;BUT - Production;Qualité, logistique industrielle et organisation;
5461;BTS - Production - Conception et industrialisation en microtechniques;formation sélective;BTS;Lycée Alfred Mezieres - BTS - Production - Conception et industrialisation en microtechniques;BTS - Production;Conception et industrialisation en microtechniques;
5462;Licence - Génie civil;formation non sélective;Licence;La Rochelle Université - Licence - Génie civil;Licence - Sciences - technologies - santé;Génie civil;
5463;Diplôme National d'Art;formation sélective;Autre formation;Concours TALM - Diplôme National d'Art;Diplôme National d'Art;Diplôme National d'Art;Concours ART
5464;BTS - Services - Services informatiques aux organisations;formation sélective;BTS;LGT Sainte-Marie / ESUPEC - BTS - Services - Services informatiques aux organisations;BTS - Services;Services informatiques aux organisations;
5465;Double licence - Histoire / Géographie et aménagement - Double-licence mention Histoire - mention Géographie aménagement;formation sélective;Licence;Université Paris Nanterre - Double licence - Histoire / Géographie et aménagement - Double-licence mention Histoire - mention Géographie aménagement;Licence - Sciences humaines et sociales;Histoire;Double-licence mention Histoire - mention Géographie aménagement
5466;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Russe - confirmé  (niveau B1/B2 attendu);formation non sélective;Licence;Université de Rennes 2 - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Russe - confirmé  (niveau B1/B2 attendu);Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Russe - confirmé  (niveau B1/B2 attendu)
5467;Licence - Portail Economie et management;formation non sélective;Licence;Université de Brest - Licence - Portail Economie et management;Licence - Droit-économie-gestion;Economie et gestion;Economie et management
5468;Licence - Droit;formation non sélective;Licence;Université de Tours - Licence - Droit;Licence - Droit-économie-gestion;Droit;
5469;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée professionnel Marcel Pagnol - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
5470;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée Louis Armand - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
5527;Licence - Langues étrangères appliquées - Parcours ANGLAIS-ESPAGNOL;formation non sélective;Licence;Université du littoral - Site de Dunkerque - Licence - Langues étrangères appliquées - Parcours ANGLAIS-ESPAGNOL;Licence - Arts-lettres-langues;Langues étrangères appliquées;ANGLAIS-ESPAGNOL
5471;C.M.I - Cursus Master en Ingénierie - Mathématiques - Ingénierie de la Statistique et Informatique (ISI);formation sélective;Autre formation;Université de Bordeaux - Bordeaux Métropole - C.M.I - Cursus Master en Ingénierie - Mathématiques - Ingénierie de la Statistique et Informatique (ISI);C.M.I - Cursus Master en Ingénierie;Mathématiques;Ingénierie de la Statistique et Informatique (ISI)
5472;CPGE - MP2I;formation sélective;CPGE;Lycée général Clemenceau - CPGE - MP2I;Classe préparatoire scientifique;MP2I;
5473;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Sainte Anne - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
5474;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;formation sélective;BTS;Lycée Edouard Branly - BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;BTS - Production;Fluide, énergie, domotique - option B froid et conditionnement d'air;
5475;Diplôme d'Etablissement - Admission commune Bachelors;formation sélective;Autre formation;ESTP - Diplôme d'Etablissement - Admission commune Bachelors;Diplôme d'Etablissement;Diplôme d'Etablissement;Bachelor Architecture et Construction
5476;BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;formation sélective;Autre formation;Centre de Ressources, d'Expertise et de Performance Sportive de Dijon (CREPS) - BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;BPJEPS;Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;
5477;Certificat de Spécialisation - Technicien(ne) en soudage;formation sélective;Autre formation;Lycée Bel Air - Certificat de Spécialisation - Technicien(ne) en soudage;Certificat de Spécialisation;Technicien(ne) en soudage;
5478;Licence - Informatique;formation non sélective;Licence;Université Lumière - Lyon 2 - Licence - Informatique;Licence - Sciences - technologies - santé;Informatique;Informatique – Economie et gestion
5479;CPGE - BCPST;formation sélective;CPGE;Lycée Lakanal - CPGE - BCPST;Classe préparatoire scientifique;BCPST;
5480;CPGE - PCSI;formation sélective;CPGE;Lycée Claude Bernard - CPGE - PCSI;Classe préparatoire scientifique;PCSI;
5481;BTS - Production - Maintenance des systèmes - option A Systèmes de production;formation sélective;BTS;Lycée Boissy D'Anglas - BTS - Production - Maintenance des systèmes - option A Systèmes de production;BTS - Production;Maintenance des systèmes - option A Systèmes de production;
5482;Licence - Sciences du langage - Parcours Etude de la Langue Française (ELF);formation non sélective;Licence;Université Paul Valery - Montpellier 3 - Licence - Sciences du langage - Parcours Etude de la Langue Française (ELF);Licence - Arts-lettres-langues;Sciences du langage;Etude de la Langue Française (ELF)
5483;BTS - Services - Gestion des transports et logistique associée;formation sélective;BTS;Lycée Bristol - BTS - Services - Gestion des transports et logistique associée;BTS - Services;Gestion des transports et logistique associée;
5484;Certificat de Spécialisation - Métiers du bar;formation sélective;Autre formation;Lycée Hotel.Tourisme Gascogne - Certificat de Spécialisation - Métiers du bar;Certificat de Spécialisation;Métiers du bar;
5485;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Italien - Langue et culture italiennes - parcours confirmé;formation non sélective;Licence;Université de Rennes 2 - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Italien - Langue et culture italiennes - parcours confirmé;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Italien - Langue et culture italiennes - parcours confirmé
5486;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Theodore Aubanel - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
5487;Double licence - Lettres / Histoire de l'art et archéologie - Double Licence : Lettres Classiques - Histoire de l'Art et Archéologie;formation non sélective;Licence;Université Grenoble Alpes - Double licence - Lettres / Histoire de l'art et archéologie - Double Licence : Lettres Classiques - Histoire de l'Art et Archéologie;Licence - Arts-lettres-langues;Lettres;Double Licence : Lettres Classiques - Histoire de l'Art et Archéologie
5488;BTS - Agricole - Analyses biologiques, biotechnologiques, agricoles et environnementales;formation sélective;BTS;ENILV - Georges Pompidou - BTS - Agricole - Analyses biologiques, biotechnologiques, agricoles et environnementales;BTS - Agricole;Analyses biologiques, biotechnologiques, agricoles et environnementales;
5489;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Albert Thomas - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
5490;Licence - Portail Psychologie;formation non sélective;Licence_Las;Université de Caen Normandie - Licence - Portail Psychologie;Licence - Sciences humaines et sociales;Psychologie;
5491;BTS - Services - Management Commercial Opérationnel;formation sélective;BTS;Lycée Raymond Queneau - BTS - Services - Management Commercial Opérationnel;BTS - Services;Management Commercial Opérationnel;
5492;D.E Assistant de Service Social;formation sélective;EFTS;IFME (institut de formations aux métiers éducatifs) de Nîmes - D.E Assistant de Service Social;D.E secteur social;D.E Assistant de Service Social;
5493;BTS - Services - Management Commercial Opérationnel;formation sélective;BTS;ECP - Ecole Commerciale Privée - BTS - Services - Management Commercial Opérationnel;BTS - Services;Management Commercial Opérationnel;
5494;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Notre-Dame D'Annay - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
5495;BTS - Services - Collaborateur juriste notarial;formation sélective;BTS;Lycée Saint-Gabriel - BTS - Services - Collaborateur juriste notarial;BTS - Services;Collaborateur juriste notarial;
5496;Licence - Portail Sciences et technologies;formation non sélective;Licence;Université de Bordeaux - Bordeaux Métropole - Licence - Portail Sciences et technologies;Licence - Sciences - technologies - santé;Sciences de la vie;Sciences et technologies : Sciences de la vie
5497;Licence professionnelle - Métiers de l'aménagement du territoire et de l'urbanisme parcours Architecture et Conception;formation sélective;Autre formation;EIVP - Ecole des ingénieurs de la ville de Paris - Licence professionnelle - Métiers de l'aménagement du territoire et de l'urbanisme parcours Architecture et Conception;LP -  Sciences Humaines et Sociales;Licence professionnelle;Métiers de l'aménagement du territoire et de l'urbanisme parcours Architecture et Conception
